org.eclipse.osgi.internal.resolver.StateMsg,1,0.0
org.osgi.framework.FrameworkEvent,2,15.0
org.osgi.framework.ServiceEvent,1,11.0
org.eclipse.core.runtime.internal.adaptor.URLConverterImpl,1,12.0
org.eclipse.osgi.internal.resolver.SystemState,1,13.0
org.osgi.service.url.AbstractURLStreamHandlerService,1,28.0
org.eclipse.osgi.framework.internal.core.OSGi,1,31.0
org.eclipse.osgi.internal.resolver.HostSpecificationImpl,1,33.0
org.eclipse.osgi.internal.resolver.VersionConstraintImpl,1,36.0
org.eclipse.osgi.framework.internal.core.GlobalPolicy,1,38.0
org.eclipse.core.runtime.internal.adaptor.EclipseAdaptorHook,3,124.0
org.eclipse.osgi.internal.module.MappedList,1,44.0
org.eclipse.osgi.internal.resolver.BundleDeltaImpl,1,45.0
org.eclipse.osgi.framework.internal.core.BundleFragment,4,186.0
org.eclipse.osgi.framework.internal.core.SystemBundleActivator,1,55.0
org.osgi.service.condpermadmin.BundleLocationCondition,1,59.0
org.eclipse.osgi.framework.internal.core.ExportedPackageImpl,1,61.0
org.eclipse.core.runtime.internal.adaptor.EclipseErrorHandler,1,68.0
org.eclipse.osgi.internal.baseadaptor.SystemBundleData,2,138.0
org.eclipse.osgi.framework.internal.core.AbstractBundle,10,712.0
org.eclipse.osgi.framework.internal.core.PolicyHandler,2,143.0
org.eclipse.osgi.internal.baseadaptor.BaseClassLoadingHook,1,78.0
org.eclipse.osgi.service.resolver.VersionRange,1,81.0
org.eclipse.osgi.internal.baseadaptor.AdaptorUtil,2,169.0
org.eclipse.osgi.framework.internal.core.RegisteredPolicy,1,86.0
org.eclipse.osgi.internal.resolver.StateImpl,8,705.0
org.eclipse.osgi.internal.signedcontent.SignedBundleHook,2,203.0
org.eclipse.osgi.framework.internal.core.BundleRepository,1,111.0
org.eclipse.osgi.internal.baseadaptor.StateManager,1,114.0
org.eclipse.osgi.framework.internal.core.ServiceReferenceImpl,1,116.0
org.eclipse.osgi.internal.resolver.NativeCodeSpecificationImpl,1,117.0
org.eclipse.osgi.baseadaptor.bundlefile.MRUBundleFileList,1,125.0
org.eclipse.core.runtime.internal.adaptor.EclipseLazyStarter,1,196.0
org.eclipse.osgi.framework.internal.core.FilterImpl,5,1003.0
org.eclipse.osgi.internal.signedcontent.SignedStorageHook,1,209.0
org.eclipse.osgi.baseadaptor.loader.ClasspathManager,1,393.0
org.eclipse.osgi.internal.module.ResolverImpl,3,1543.0
org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher,0,100.0
org.eclipse.osgi.framework.internal.protocol.reference.ReferenceURLConnection,0,48.0
org.eclipse.osgi.internal.signedcontent.SignerInfoImpl,0,45.0
substitutes.y.Ay,0,0.0
substitutes.x.Ix,0,0.0
nativetest.a2.Activator,0,9.0
org.eclipse.osgi.internal.baseadaptor.BundleInstall,0,89.0
legacy.lazystart.c.Activator,0,6.0
org.eclipse.core.runtime.internal.adaptor.EclipseEnvironmentInfo,0,160.0
ext.framework.a.importer.Activator,0,15.0
test1.Activator,0,6.0
org.eclipse.osgi.service.security.TrustEngine,0,16.0
org.eclipse.osgi.internal.profile.DefaultProfileLogger,0,294.0
org.eclipse.osgi.framework.eventmgr.ListElement,0,4.0
org.eclipse.osgi.service.pluginconversion.PluginConversionException,0,6.0
substitutes.x.Jx,0,0.0
org.eclipse.osgi.internal.module.ResolverImport,0,17.0
org.eclipse.osgi.internal.signedcontent.DNChainMatching,0,262.0
org.eclipse.osgi.framework.debug.FrameworkDebugOptions,0,108.0
substitutes.y.Iy,0,0.0
host.multiple.exports.onlyone.PublicClass1,0,0.0
org.eclipse.osgi.framework.internal.protocol.ContentHandlerFactory,0,107.0
org.eclipse.core.runtime.internal.stats.ResourceBundleStats,0,56.0
host.multiple.exports.PublicClass1,0,0.0
org.eclipse.osgi.baseadaptor.bundlefile.DirBundleFile,0,62.0
nativetest.d.Activator,0,8.0
org.eclipse.core.runtime.internal.adaptor.BundleLocalizationImpl,0,3.0
org.eclipse.osgi.baseadaptor.bundlefile.FileBundleEntry,0,26.0
osgi.lazystart.LazySimple,0,3.0
org.eclipse.osgi.framework.internal.core.ReferenceInputStream,0,9.0
xfriends.test2.Activator,0,15.0
xfriends.test3.Activator,0,15.0
org.eclipse.core.runtime.internal.adaptor.MessageHelper,0,28.0
org.eclipse.osgi.framework.internal.core.ConditionalPermissionInfoImpl,0,182.0
org.eclipse.core.runtime.internal.adaptor.Locker_JavaIo,0,44.0
osgi.lazystart.c.excluded.b.CBExcluded,0,0.0
org.eclipse.osgi.framework.internal.core.AliasMapper,0,98.0
org.eclipse.osgi.framework.internal.reliablefile.ReliableFile,0,492.0
legacy.lazystart.FalseExceptionLegacy1,0,4.0
org.eclipse.core.runtime.internal.adaptor.EclipseCommandProvider,0,188.0
substitutes.y.By,0,0.0
substitutes.z.Fz,0,0.0
org.eclipse.osgi.framework.eventmgr.EventThread,0,70.0
org.eclipse.osgi.framework.internal.protocol.MultiplexingContentHandler,0,11.0
osgi.lazystart.c.excluded.a.CAExcluded,0,0.0
substitutes.y.Jy,0,0.0
org.eclipse.osgi.internal.profile.Profile,0,92.0
substitutes.x.Nx,0,0.0
osgi.lazystart.b.Activator,0,6.0
org.eclipse.osgi.framework.internal.core.ConditionalPermissions,0,148.0
org.eclipse.osgi.util.ManifestElement,0,257.0
org.eclipse.osgi.internal.baseadaptor.BasePermissionStorage,0,49.0
nativetest.b2.Activator,0,9.0
org.eclipse.osgi.internal.resolver.ComputeNodeOrder,0,47.0
org.eclipse.osgi.framework.internal.core.FrameworkSecurityManager,0,121.0
org.eclipse.osgi.framework.internal.protocol.bundleresource.Handler,0,22.0
org.eclipse.osgi.baseadaptor.HookRegistry,0,144.0
org.eclipse.osgi.baseadaptor.bundlefile.DirZipBundleEntry,0,32.0
org.eclipse.osgi.framework.util.KeyedHashSet,0,285.0
org.eclipse.osgi.internal.module.GroupingChecker,0,130.0
org.eclipse.osgi.internal.signedcontent.SignedContentImpl,0,86.0
org.eclipse.osgi.framework.internal.core.BundleProtectionDomainImpl,0,4.0
org.eclipse.osgi.internal.baseadaptor.BundleUninstall,0,21.0
legacy.lazystart.TrueExceptionLegacy1,0,4.0
substitutes.x.Lx,0,0.0
org.eclipse.osgi.framework.internal.protocol.MultiplexingURLStreamHandler,0,173.0
substitutes.y.Ky,0,0.0
org.eclipse.core.runtime.internal.adaptor.LocationHelper,0,27.0
osgi.lazystart.LazyExclude1,0,4.0
org.eclipse.osgi.framework.debug.Debug,0,33.0
org.eclipse.osgi.framework.internal.core.Util,0,99.0
